Packet #,Checksum Status,Output Checksum,magic1,magic2,state,typeID,PAD,PAD,pwr_ctr,flight_ctr,checksum,magic3,fixQuality,numSats,latitude,longitude,altitude,max_altitude,hours,minutes,seconds,PAD,PAD,Packet (hex)
256,OK,1618643433,43690,170,5,5,0,0,45097996131,11185022308,1618643433,3435973836,2,12,35.350502014160156,-117.80892181396484,0.6233000159263611,0.6233000159263611,18,32,45,0,0,020000000c000000ea660d422b9eebc297901f3f97901f3f12202d0000000000aaaaaa050500000063cf0c800a00000064e5ad9a02000000e9897a60cccccccc
257,OK,3681109272,43690,170,5,5,0,0,45099057833,11186084004,3681109272,3435973836,2,12,35.350502014160156,-117.80892181396484,0.6233000159263611,0.6233000159263611,18,32,46,0,0,020000000c000000ea660d422b9eebc297901f3f97901f3f12202e0000000000aaaaaa0505000000a9021d800a000000a418be9a02000000184569dbcccccccc
258,OK,895711764,43690,170,5,5,0,0,45100104841,11187131012,895711764,3435973836,2,12,35.350502014160156,-117.80892181396484,0.6233000159263611,0.6233000159263611,18,32,47,0,0,020000000c000000ea660d422b9eebc297901f3f97901f3f12202f0000000000aaaaaa050500000089fc2c800a0000008412ce9a02000000147a6335cccccccc
259,OK,3175154407,43690,170,5,5,0,0,45101153338,11188179510,3175154407,3435973836,2,12,35.350502014160156,-117.80892181396484,0.6233000159263611,0.6233000159263611,18,32,48,0,0,020000000c000000ea660d422b9eebc297901f3f97901f3f1220300000000000aaaaaa05050000003afc3c800a0000003612de9a02000000e70241bdcccccccc
260,OK,712242171,43690,170,5,5,0,0,45102241041,11189267212,712242171,3435973836,2,12,35.350502014160156,-117.80892181396484,0.6233000159263611,0.6233000159263611,18,32,49,0,0,020000000c000000ea660d422b9eebc297901f3f97901f3f1220310000000000aaaaaa050500000011954d800a0000000cabee9a02000000fbf3732acccccccc
261,OK,3123041733,43690,170,5,5,0,0,45103290499,11190316671,3123041733,3435973836,2,12,35.350502014160156,-117.80892181396484,0.6233000159263611,0.6233000159263611,18,32,50,0,0,020000000c000000ea660d422b9eebc297901f3f97901f3f1220320000000000aaaaaa050500000083985d800a0000007faefe9a02000000c5d525bacccccccc
262,OK,3117766897,43690,170,5,5,0,0,45104341046,11191367217,3117766897,3435973836,2,12,35.350502014160156,-117.80892181396484,0.6233000159263611,0.6233000159263611,18,32,51,0,0,020000000c000000ea660d422b9eebc297901f3f97901f3f1220330000000000aaaaaa050500000036a06d800a00000031b60e9b02000000f158d5b9cccccccc
263,OK,2546271585,43690,170,5,5,0,0,45104855982,11191882153,2546271585,3435973836,2,12,35.350502014160156,-117.80892181396484,0.6233000159263611,0.6233000159263611,18,32,52,0,0,020000000c000000ea660d422b9eebc297901f3f97901f3f1220340000000000aaaaaa0505000000ae7b75800a000000a991169b020000006105c597cccccccc
264,OK,2651768826,43690,170,5,5,0,0,45105904568,11192930739,2651768826,3435973836,2,12,35.350502014160156,-117.80892181396484,0.6233000159263611,0.6233000159263611,18,32,53,0,0,020000000c000000ea660d422b9eebc297901f3f97901f3f1220350000000000aaaaaa0505000000b87b85800a000000b391269b02000000fac70e9ecccccccc
265,OK,3232011115,43690,170,5,5,0,0,45106971417,11193997588,3232011115,3435973836,2,12,35.350502014160156,-117.80892181396484,0.6233000159263611,0.6233000159263611,18,32,54,0,0,020000000c000000ea660d422b9eebc297901f3f97901f3f1220360000000000aaaaaa050500000019c395800a00000014d9369b020000006b93a4c0cccccccc
266,OK,3003848021,43690,170,5,5,0,0,45108004997,11195031169,3003848021,3435973836,2,12,35.350502014160156,-117.80892181396484,0.6233000159263611,0.6233000159263611,18,32,55,0,0,020000000c000000ea660d422b9eebc297901f3f97901f3f1220370000000000aaaaaa05050000008588a5800a000000819e469b0200000055150bb3cccccccc
267,OK,3155374812,43690,170,5,5,0,0,45109052080,11196078251,3155374812,3435973836,2,12,35.350502014160156,-117.80892181396484,0.6233000159263611,0.6233000159263611,18,32,56,0,0,020000000c000000ea660d422b9eebc297901f3f97901f3f1220380000000000aaaaaa0505000000b082b5800a000000ab98569b02000000dc3213bccccccccc
268,OK,2091650115,43690,170,5,5,0,0,45110120659,11197146830,2091650115,3435973836,2,12,35.350502014160156,-117.80892181396484,0.6233000159263611,0.6233000159263611,18,32,57,0,0,020000000c000000ea660d422b9eebc297901f3f97901f3f1220390000000000aaaaaa0505000000d3d0c5800a000000cee6669b02000000430cac7ccccccccc
269,OK,1487705586,43690,170,5,5,0,0,45111252819,11198278990,1487705586,3435973836,2,12,35.350502014160156,-117.80892181396484,0.6233000159263611,0.6233000159263611,18,32,58,0,0,020000000c000000ea660d422b9eebc297901f3f97901f3f12203a0000000000aaaaaa05050000005317d7800a0000004e2d789b02000000f295ac58cccccccc
270,OK,905532251,43690,170,5,5,0,0,45111792324,11198818495,905532251,3435973836,2,12,35.350502014160156,-117.80892181396484,0.6233000159263611,0.6233000159263611,18,32,59,0,0,020000000c000000ea660d422b9eebc297901f3f97901f3f12203b0000000000aaaaaa0505000000c452df800a000000bf68809b020000005b53f935cccccccc
