Packet #,Checksum Status,Output Checksum,magic1,magic2,state,typeID,PAD,PAD,pwr_ctr,flight_ctr,checksum,magic3,fixQuality,numSats,latitude,longitude,altitude,max_altitude,hours,minutes,seconds,PAD,PAD,Packet (hex)
115,OK,3933388636,43690,170,5,5,162,37619,78532151623,3279423452,3933388636,3435973836,1,10,32.94049072265625,-106.92057037353516,1.3867000341415405,1.3890000581741333,11,54,8,223,438518026,010000000a00000010c3034255d7d5c2637fb13fc1cab13f0b3608df0a41231aaaaaaa0505a2f3924789e14812000000dc0778c3000000005cbf72eacccccccc
121,OK,4000535530,43690,170,5,5,162,37619,78533151638,3280423467,4000535530,3435973836,1,12,32.94049072265625,-106.92057037353516,1.3867000341415405,1.3890000581741333,11,54,9,223,438518026,010000000c00000010c3034255d7d5c2637fb13fc1cab13f0b3609df0a41231aaaaaaa0505a2f39296cbf048120000002b4a87c300000000ea5373eecccccccc
127,OK,1334195403,43690,170,5,5,162,37619,78534153700,3281425529,1334195403,3435973836,1,12,32.94049072265625,-106.92057037353516,1.3867000341415405,1.3890000581741333,11,54,10,223,438518026,010000000c00000010c3034255d7d5c2637fb13fc1cab13f0b360adf0a41231aaaaaaa0505a2f392e415004912000000799496c300000000cb34864fcccccccc
138,OK,2613498806,43690,170,5,5,162,37619,78535287937,3282559766,2613498806,3435973836,1,12,32.94049072265625,-106.92057037353516,1.3867000341415405,1.3890000581741333,11,54,11,223,438518026,010000000c00000010c3034255d7d5c2637fb13fc1cab13f0b360bdf0a41231aaaaaaa0505a2f392816411491200000016e3a7c300000000b6d3c69bcccccccc
139,OK,2947629287,43690,170,5,5,162,37619,78536154727,3283426556,2947629287,3435973836,1,12,32.94049072265625,-106.92057037353516,1.3867000341415405,1.3890000581741333,11,54,12,223,438518026,010000000c00000010c3034255d7d5c2637fb13fc1cab13f0b360cdf0a41231aaaaaaa0505a2f392679e1e4912000000fc1cb5c300000000e740b1afcccccccc
150,OK,1941066547,43690,170,5,5,162,37619,78537290604,3284562433,1941066547,3435973836,1,12,32.94049072265625,-106.92057037353516,1.3867000341415405,1.3890000581741333,11,54,13,223,438518026,010000000c00000010c3034255d7d5c2637fb13fc1cab13f0b360ddf0a41231aaaaaaa0505a2f3926cf32f49120000000172c6c3000000003353b273cccccccc
151,OK,4169295897,43690,170,5,5,162,37619,78538207313,3285479142,4169295897,3435973836,1,11,32.94049072265625,-106.92057037353516,1.3867000341415405,1.3890000581741333,11,54,14,223,438518026,010000000b00000010c3034255d7d5c2637fb13fc1cab13f0b360edf0a41231aaaaaaa0505a2f39251f03d4912000000e66ed4c300000000196882f8cccccccc
157,OK,3375457294,43690,170,5,5,162,37619,78539208308,3286480137,3375457294,3435973836,1,12,32.94049072265625,-106.92057037353516,1.3867000341415405,1.3890000581741333,11,54,15,223,438518026,010000000c00000010c3034255d7d5c2637fb13fc1cab13f0b360fdf0a41231aaaaaaa0505a2f39274364d491200000009b5e3c3000000000e6431c9cccccccc
163,OK,1465230745,43690,170,5,5,162,37619,78540211014,3287482842,1465230745,3435973836,1,12,32.94049072265625,-106.92057037353516,1.3867000341415405,1.3890000581741333,11,54,16,223,438518026,010000000c00000010c3034255d7d5c2637fb13fc1cab13f0b3610df0a41231aaaaaaa0505a2f39246835c4912000000da01f3c30000000099a55557cccccccc
169,OK,3781657064,43690,170,5,5,162,37619,78541159304,3288431133,3781657064,3435973836,1,11,32.94049072265625,-106.92057037353516,1.3866000175476074,1.3890000581741333,11,54,17,223,438518026,010000000b00000010c3034255d7d5c21c7cb13fc1cab13f0b3611df0a41231aaaaaaa0505a2f39288fb6a49120000001d7a01c400000000e88167e1cccccccc
