Packet #,Checksum Status,Output Checksum,magic1,magic2,state,typeID,PAD,PAD,pwr_ctr,flight_ctr,checksum,magic3,altitude,pressure,temperature,PAD,Packet (hex)
172,OK,2556394882,43690,170,5,6,0,0,78541277041,3288548869,2556394882,3435973836,1369.009521484375,85927,16.979999542236328,2147483647,4e20ab44a74f01000ad78741ffffff7faaaaaa050600000071c76c4912000000054603c400000000827d5f98cccccccc
178,OK,4252786905,43690,170,5,6,0,0,78542276930,3289548758,4252786905,3435973836,1368.72412109375,85928,16.979999542236328,2147483647,2c17ab44a84f01000ad78741ffffff7faaaaaa050600000042097c4912000000d68712c400000000d9607cfdcccccccc
184,OK,4110597689,43690,170,5,6,0,0,78543277846,3290549674,4110597689,3435973836,1369.009521484375,85925,16.979999542236328,2147483647,4e20ab44a54f01000ad78741ffffff7faaaaaa0506000000164f8b4912000000aacd21c40000000039be02f5cccccccc
190,OK,3361617315,43690,170,5,6,0,0,78544278833,3291550661,3361617315,3435973836,1369.1998291015625,85926,16.979999542236328,2147483647,6526ab44a64f01000ad78741ffffff7faaaaaa050600000031959a4912000000c51331c400000000a3355ec8cccccccc
196,OK,3569101288,43690,170,5,6,0,0,78545280864,3292552692,3569101288,3435973836,1368.9144287109375,85925,16.979999542236328,2147483647,431dab44a54f01000ad78741ffffff7faaaaaa050600000060dfa94912000000f45d40c400000000e829bcd4cccccccc
202,OK,839963199,43690,170,5,6,0,0,78546281014,3293552842,839963199,3435973836,1369.1046142578125,85927,16.979999542236328,2147483647,5923ab44a74f01000ad78741ffffff7faaaaaa05060000003622b94912000000caa04fc4000000003fd21032cccccccc
208,OK,424530074,43690,170,5,6,0,0,78547281931,3294553759,424530074,3435973836,1368.8193359375,85927,16.979999542236328,2147483647,381aab44a74f01000ad78741ffffff7faaaaaa05060000000b68c849120000009fe65ec4000000009ad04d19cccccccc
214,OK,4293214571,43690,170,5,6,0,0,78548282918,3295554746,4293214571,3435973836,1369.1046142578125,85931,16.979999542236328,2147483647,5923ab44ab4f01000ad78741ffffff7faaaaaa050600000026aed74912000000ba2c6ec4000000006b41e5ffcccccccc
220,OK,3352677804,43690,170,5,6,0,0,78549284941,3296556769,3352677804,3435973836,1368.9144287109375,85929,16.979999542236328,2147483647,431dab44a94f01000ad78741ffffff7faaaaaa05060000004df8e64912000000e1767dc400000000accdd5c7cccccccc
226,OK,1458802456,43690,170,5,6,0,0,78550284917,3297556745,1458802456,3435973836,1369.580322265625,85916,16.979999542236328,2147483647,9232ab449c4f01000ad78741ffffff7faaaaaa0506000000753af6491200000009b98cc400000000188ff356cccccccc
232,OK,2895177154,43690,170,5,6,0,0,78551286007,3298557835,2895177154,3435973836,1368.6290283203125,85926,16.979999542236328,2147483647,2114ab44a64f01000ad78741ffffff7faaaaaa0506000000f780054a120000008bff9bc400000000c2e590accccccccc
238,OK,1513193410,43690,170,5,6,0,0,78552286924,3299558752,1513193410,3435973836,1368.9144287109375,85927,16.979999542236328,2147483647,431dab44a74f01000ad78741ffffff7faaaaaa0506000000ccc6144a120000006045abc400000000c27f315acccccccc
245,OK,1886412601,43690,170,3,6,0,0,79182078946,3929350774,1886412601,3435973836,1366.6314697265625,85954,17.3799991607666,2147483647,35d4aa44c24f01003d0a8b41ffffff7faaaaaa0306000000e2a39e6f12000000762235ea00000000395f7070cccccccc
