Packet #,Checksum Status,Output Checksum,magic1,magic2,state,typeID,PAD,PAD,pwr_ctr,flight_ctr,checksum,magic3,ax,ay,az,PAD,Packet (hex)
207,OK,3011279590,43690,170,5,3,127,4096,78547280839,3294552667,3011279590,3435973836,4,6,-28,4096,04000600e4ff0010aaaaaa05037f0010c763c849120000005be25ec400000000e67a7cb3cccccccc
213,OK,3955241773,43690,170,5,3,127,4096,78548281827,3295553655,3955241773,3435973836,4,0,-26,4096,04000000e6ff0010aaaaaa05037f0010e3a9d7491200000077286ec4000000002d33c0ebcccccccc
219,OK,1731801812,43690,170,5,3,127,4096,78549283849,3296555677,1731801812,3435973836,2,0,-26,4096,02000000e6ff0010aaaaaa05037f001009f4e649120000009d727dc400000000d4323967cccccccc
225,OK,586881049,43690,170,5,3,127,4096,78550283826,3297555654,586881049,3435973836,8,0,-30,4096,08000000e2ff0010aaaaaa05037f00103236f64912000000c6b48cc4000000001918fb22cccccccc
231,OK,3853189088,43690,170,5,3,127,4096,78551284915,3298556744,3853189088,3435973836,-2,6,-28,4096,feff0600e4ff0010aaaaaa05037f0010b37c054a1200000048fb9bc400000000e0ffaae5cccccccc
237,OK,3386654785,43690,170,5,3,127,4096,78552285832,3299557661,3386654785,3435973836,2,6,-26,4096,02000600e6ff0010aaaaaa05037f001088c2144a120000001d41abc4000000004140dcc9cccccccc
244,OK,2058628988,43690,170,3,3,127,4096,79182077854,3929349682,2058628988,3435973836,-16,-6,-6,4096,f0fffafffaff0010aaaaaa03037f00109e9f9e6f12000000321e35ea000000007c2fb47acccccccc
252,OK,3192047110,43690,170,3,3,127,4096,79742158860,4489430688,3192047110,3435973836,-16,12,-6,4096,f0ff0c00faff0010aaaaaa03037f00100cc8009112000000a046970b0100000006c642becccccccc
260,OK,3584631511,43690,170,3,3,127,4096,80505228865,5252500693,3584631511,3435973836,10,-16,-10,4096,0a00f0fff6ff0010aaaaaa03037f0010414e7cbe12000000d5cc123901000000d722a9d5cccccccc
268,OK,2964464065,43690,170,3,3,127,4096,80828439139,5575710968,2964464065,3435973836,10,-18,-6,4096,0a00eefffaff0010aaaaaa03037f0010631ac0d112000000f898564c01000000c121b2b0cccccccc
276,OK,135927691,43690,170,3,3,127,4096,81555261998,6302533826,135927691,3435973836,10,-12,-6,4096,0a00f4fffaff0010aaaaaa03037f00102e8a12fd12000000c208a977010000008b171a08cccccccc
284,OK,3762528042,43690,170,3,3,127,4096,82934167883,7681439711,3762528042,3435973836,2,4,14,4096,020004000e000010aaaaaa03037f00104bf9424f13000000df77d9c9010000002a9f43e0cccccccc
