Packet #,Checksum Status,Output Checksum,magic1,magic2,state,typeID,PAD,PAD,pwr_ctr,flight_ctr,checksum,magic3,quatX,quatY,quatZ,quatW,ax,ay,az,magX,magY,magZ,calib,stability,PAD,PAD,PAD,
55394,OK,2840532061,43690,170,6,4,0,0,66977466448,13848683112,2840532061,3435973836,-0.05279541,-0.038879395,0.672851563,0.736877441,-0.125,-1.3203125,9.97265625,31.3125,7.9375,-36.1875,b'\x00',b'\x00',0,0,0,
55399,OK,3396871897,43690,170,6,4,0,0,66977518065,13848734729,3396871897,3435973836,-0.05279541,-0.038818359,0.672851563,0.736877441,-0.14453125,-1.30859375,9.9453125,32,7.9375,-35.125,b'\x00',b'\x00',0,0,0,
55404,OK,3082808392,43690,170,6,4,0,0,66977570110,13848786774,3082808392,3435973836,-0.05279541,-0.038818359,0.672790527,0.736877441,-0.13671875,-1.2890625,9.97265625,31.375,8.5,-36.1875,b'\x00',b'\x00',0,0,0,
55413,OK,4071113047,43690,170,6,4,0,0,66977625225,13848841890,4071113047,3435973836,-0.05279541,-0.038818359,0.672851563,0.736877441,-0.14453125,-1.3203125,9.9609375,31.6875,8.25,-34.5625,b'\x00',b'\x00',0,0,0,
55419,OK,2868661826,43690,170,6,4,0,0,66977677111,13848893775,2868661826,3435973836,-0.052856445,-0.038879395,0.672851563,0.736877441,-0.125,-1.30859375,9.93359375,31.625,7.6875,-34,b'\x00',b'\x00',0,0,0,
55424,OK,823059362,43690,170,6,4,0,0,66977729068,13848945732,823059362,3435973836,-0.052856445,-0.038879395,0.672851563,0.736877441,-0.13671875,-1.30078125,9.98046875,31.6875,7.9375,-35.125,b'\x00',b'\x00',0,0,0,
55429,OK,2726059735,43690,170,6,4,0,0,66977781029,13848997693,2726059735,3435973836,-0.052856445,-0.038879395,0.672851563,0.736877441,-0.125,-1.30078125,9.953125,32,7.125,-35.625,b'\x00',b'\x00',0,0,0,
55438,OK,438944578,43690,170,6,4,0,0,66977834042,13849050706,438944578,3435973836,-0.052856445,-0.038879395,0.672851563,0.736816406,-0.14453125,-1.30078125,9.9453125,30.625,7.4375,-34.5,b'\x00',b'\x00',0,0,0,
55445,OK,3418538649,43690,170,6,4,0,0,66977890310,13849106974,3418538649,3435973836,-0.052856445,-0.038879395,0.672851563,0.736816406,-0.13671875,-1.2890625,9.9453125,31,7.6875,-34.5,b'\x00',b'\x00',0,0,0,
55450,OK,634502756,43690,170,6,4,0,0,66977942076,13849158740,634502756,3435973836,-0.052856445,-0.038879395,0.672851563,0.736877441,-0.13671875,-1.30078125,9.9453125,31.6875,8.25,-36.75,b'\x00',b'\x00',0,0,0,
55457,OK,4122204879,43690,170,6,4,0,0,66977995132,13849211796,4122204879,3435973836,-0.052856445,-0.038879395,0.672851563,0.736877441,-0.125,-1.30078125,9.92578125,33.1875,8.25,-37.375,b'\x00',b'\x00',0,0,0,
55464,OK,2733314475,43690,170,6,4,0,0,66978048074,13849264738,2733314475,3435973836,-0.05279541,-0.038879395,0.672851563,0.736877441,-0.13671875,-1.2890625,9.9609375,32.4375,8.5,-36.8125,b'\x00',b'\x00',0,0,0,
55470,OK,2744813426,43690,170,6,4,0,0,66978100077,13849316741,2744813426,3435973836,-0.05279541,-0.038879395,0.672851563,0.736877441,-0.125,-1.30859375,9.93359375,32.75,8.5,-35.625,b'\x00',b'\x00',0,0,0,
55475,OK,2823099001,43690,170,6,4,0,0,66978152104,13849368768,2823099001,3435973836,-0.052734375,-0.038879395,0.672851563,0.736877441,-0.13671875,-1.3203125,9.9453125,30.625,8.25,-36.125,b'\x00',b'\x00',0,0,0,
55484,OK,2323184987,43690,170,6,4,0,0,66978208000,13849424664,2323184987,3435973836,-0.052734375,-0.038879395,0.672851563,0.736877441,-0.125,-1.2890625,9.9609375,31.375,7.6875,-35.125,b'\x00',b'\x00',0,0,0,
55490,OK,1698936078,43690,170,6,4,0,0,66978260092,13849476756,1698936078,3435973836,-0.052734375,-0.038879395,0.672912598,0.736816406,-0.13671875,-1.30859375,9.9609375,32.0625,9.0625,-35.125,b'\x00',b'\x00',0,0,0,
55495,OK,1017122865,43690,170,6,4,0,0,66978313093,13849529757,1017122865,3435973836,-0.052734375,-0.038879395,0.672851563,0.736877441,-0.14453125,-1.3203125,9.953125,31.6875,7.9375,-37.3125,b'\x00',b'\x00',0,0,0,
55501,OK,1137019711,43690,170,6,4,0,0,66978365499,13849582163,1137019711,3435973836,-0.052734375,-0.038879395,0.672851563,0.736877441,-0.13671875,-1.30078125,9.97265625,32.8125,7.6875,-39,b'\x00',b'\x00',0,0,0,
55509,OK,1098510538,43690,170,6,4,0,0,66978419705,13849636370,1098510538,3435973836,-0.05267334,-0.038879395,0.672912598,0.736816406,-0.14453125,-1.30078125,9.96484375,29.9375,7.6875,-36.6875,b'\x00',b'\x00',0,0,0,
55515,OK,3744582776,43690,170,6,4,0,0,66978471092,13849687757,3744582776,3435973836,-0.05267334,-0.03894043,0.672851563,0.736816406,-0.13671875,-1.3203125,9.953125,31.6875,7.9375,-38.375,b'\x00',b'\x00',0,0,0,
55520,OK,105130722,43690,170,6,4,0,0,66978523020,13849739684,105130722,3435973836,-0.05267334,-0.03894043,0.672912598,0.736816406,-0.14453125,-1.30078125,9.96484375,31.375,7.6875,-36.1875,b'\x00',b'\x00',0,0,0,
55527,OK,3961165339,43690,170,6,4,0,0,66978578215,13849794880,3961165339,3435973836,-0.05267334,-0.03894043,0.672912598,0.736816406,-0.13671875,-1.30078125,9.953125,31.625,8.5,-33.4375,b'\x00',b'\x00',0,0,0,
55534,OK,2217262500,43690,170,6,4,0,0,66978630033,13849846697,2217262500,3435973836,-0.052734375,-0.03894043,0.672912598,0.736816406,-0.13671875,-1.30078125,9.97265625,32,7.4375,-35.625,b'\x00',b'\x00',0,0,0,
55540,OK,3392530184,43690,170,6,4,0,0,66978682021,13849898685,3392530184,3435973836,-0.052734375,-0.03894043,0.672912598,0.736816406,-0.13671875,-1.3203125,9.9609375,32.0625,7.9375,-36.75,b'\x00',b'\x00',0,0,0,
55545,OK,1435112541,43690,170,6,4,0,0,66978735080,13849951744,1435112541,3435973836,-0.052734375,-0.03894043,0.672912598,0.736816406,-0.15625,-1.2890625,9.93359375,30.625,8.5,-35.5625,b'\x00',b'\x00',0,0,0,
55552,OK,2484867323,43690,170,6,4,0,0,66978788074,13850004738,2484867323,3435973836,-0.052734375,-0.03894043,0.672912598,0.736816406,-0.125,-1.3203125,9.9453125,31.6875,8.25,-35.125,b'\x00',b'\x00',0,0,0,
55559,OK,369077413,43690,170,6,4,0,0,66978840048,13850056712,369077413,3435973836,-0.052734375,-0.03894043,0.672912598,0.736816406,-0.15625,-1.30859375,9.9453125,31,8.25,-35.5625,b'\x00',b'\x00',0,0,0,
