pwr_ctr,az
2.9966,262.55
2.9995,262.6
3.0023,262.66
3.0052,262.7
3.0082,262.75
3.0114,262.83
3.0146,262.86
3.0178,262.98
3.0263,263.05
3.0301,263.14
3.0338,263.22
3.0389,263.26
3.043,263.31
3.0463,263.39
3.0495,263.53
3.0576,263.6
3.0633,263.65
3.0667,263.75
3.0705,263.82
3.0743,263.85
3.0781,263.91
3.082,264
3.0859,264.04
3.0887,264.08
3.0916,264.12
3.0945,264.2
3.0975,264.23
3.1005,264.28
3.1034,264.33
3.1064,264.38
3.1094,264.43
3.1124,264.47
3.115,264.52
3.1176,264.56
3.1203,264.61
3.1229,264.66
3.1255,264.7
3.1282,264.75
3.131,264.8
3.1338,264.86
3.1374,264.92
3.141,264.98
3.1445,265.03
3.1476,265.09
3.1506,265.14
3.1536,265.19
3.1567,265.24
3.1597,265.3
3.1627,265.32
3.1653,265.36
3.1679,265.43
3.1704,265.51
3.1751,265.56
3.1791,265.61
3.1823,265.7
3.1856,265.73
3.1884,265.77
3.1912,265.84
3.1942,265.88
3.1972,265.92
3.1998,265.97
3.2024,266.02
3.205,266.06
3.2076,266.12
3.211,266.2
3.2153,266.22
3.2178,266.29
3.2204,266.34
3.2233,266.36
3.2252,266.41
3.228,266.45
3.2305,266.5
3.233,266.54
3.2354,266.59
3.2379,266.63
3.2404,266.69
3.2432,266.72
3.246,266.78
3.2485,266.83
3.2511,266.86
3.2538,266.91
3.2566,266.96
3.259,267
3.2615,267.04
3.264,267.09
3.2664,267.13
3.2689,267.18
3.272,267.24
3.2747,267.28
3.2774,267.32
3.2797,267.37
3.282,267.41
3.2843,267.45
3.2867,267.49
3.289,267.53
3.2913,267.57
3.2936,267.62
3.2968,267.7
3.301,267.77
3.3051,267.84
3.3084,267.88
3.3118,267.92
3.3143,267.99
3.3168,268.03
3.3193,268.08
3.3217,268.1
3.3242,268.17
3.3267,268.21
3.3294,268.25
3.3319,268.28
3.3343,268.35
3.3367,268.37
3.3392,268.42
3.3418,268.46
3.3441,268.51
3.3464,268.55
3.3488,268.61
3.3519,268.66
3.3549,268.71
3.3572,268.74
3.3594,268.79
3.3617,268.83
3.3639,268.88
3.3662,268.91
3.3685,268.95
3.3708,268.99
3.3729,269.02
3.3749,269.06
3.377,269.1
3.3789,269.15
3.3816,269.21
3.3843,269.21
3.3863,269.27
3.3884,269.35
3.3914,269.55
3.3994,269.78
3.4094,269.85
3.4151,269.94
3.4212,270.11
3.4312,270.33
3.4412,270.38
3.4449,270.45
3.4489,270.63
3.4589,270.74
3.4644,270.81
3.4683,270.89
3.4732,270.96
3.477,271.06
3.4818,271.18
3.4886,271.33
3.4966,271.48
3.5051,271.64
3.5136,271.76
3.5195,271.88
3.5257,271.95
3.53,272.04
3.5349,272.16
3.5408,272.24
3.5453,272.28
3.5476,272.33
3.5501,272.37
3.5526,272.42
3.5547,272.46
3.5568,272.5
3.5589,272.53
3.561,272.57
3.5632,272.6
3.565,272.64
3.5669,272.68
3.5688,272.73
3.5707,272.75
3.5726,272.8
3.5756,272.84
3.578,272.91
3.5804,272.97
3.5833,273
3.5863,273.07
3.5893,273.14
3.5935,273.23
3.598,273.29
3.6004,273.33
3.6022,273.34
3.604,273.39
3.6067,273.45
3.6093,273.49
3.6112,273.51
3.6131,273.54
3.615,273.6
3.6169,273.63
3.6188,273.66
3.6208,273.7
3.6226,273.75
3.6244,273.76
3.6265,273.81
3.6285,273.87
3.6313,273.92
3.6342,273.97
3.6371,274.02
3.64,274.05
3.6417,274.1
3.6436,274.13
3.6456,274.19
3.6486,274.25
3.6519,274.32
3.6541,274.35
3.6558,274.36
3.6575,274.43
3.6611,274.47
3.6631,274.51
3.6652,274.55
3.6672,274.59
3.6693,274.63
3.6714,274.67
3.6734,274.71
3.6755,274.75
3.6776,274.79
3.6796,274.82
3.6817,274.86
3.6838,274.9
3.6858,274.94
3.6879,274.98
3.69,275.02
3.692,275.05
3.6934,275.13
3.6974,275.19
3.7005,275.24
3.7026,275.26
3.7044,275.29
3.7062,275.33
3.708,275.38
3.7104,275.41
3.7125,275.45
3.7143,275.48
3.7161,275.52
3.7179,275.56
3.7196,275.59
3.7214,275.63
3.7232,275.67
3.725,275.71
3.727,275.74
3.7291,275.78
3.7308,275.81
3.7325,275.84
3.7343,275.87
3.736,275.91
3.7377,275.94
3.7394,275.97
3.7412,276.01
3.7429,276.04
3.7446,276.08
3.7464,276.11
3.7481,276.14
3.7499,276.2
3.7526,276.26
3.7555,276.28
3.7571,276.3
3.7587,276.35
3.7603,276.4
3.7626,276.43
3.7644,276.46
3.766,276.49
3.7676,276.52
3.7692,276.55
3.7709,276.58
3.7725,276.61
3.7741,276.65
3.7757,276.68
3.7773,276.71
3.7789,276.74
3.7806,276.77
3.7822,276.8
3.7838,276.83
3.7854,276.87
3.787,276.9
3.7886,276.93
3.7902,276.96
3.7919,276.99
3.7935,277.02
3.7951,277.06
3.7967,277.09
3.7983,277.12
3.7999,277.15
3.8016,277.18
3.8032,277.22
3.8048,277.25
3.8064,277.28
3.808,277.31
3.8096,277.34
3.8112,277.38
3.8129,277.4
3.8145,277.44
3.8161,277.47
3.8177,277.52
3.8206,277.56
3.8226,277.61
3.8248,277.64
3.8265,277.67
3.8282,277.71
3.8298,277.73
3.8312,277.76
3.8328,277.81
3.835,277.85
3.8369,277.89
3.8392,277.93
3.8411,277.96
3.8431,278
3.8448,278.02
3.8463,278.06
3.8478,278.08
3.8493,278.09
3.8508,278.11
3.8524,278.12
3.8539,278.14
3.8555,278.16
3.8571,278.17
3.8587,278.19
3.8603,278.2
3.8619,278.22
3.8635,278.23
3.8651,278.25
3.8667,278.27
3.8682,278.28
3.8698,278.3
3.8714,278.31
3.873,278.33
3.8747,278.35
3.8763,278.36
3.8779,278.38
3.8794,278.39
3.881,278.41
3.8825,278.42
3.884,278.44
3.8855,278.45
3.887,278.47
3.8885,278.48
3.89,278.5
3.8915,278.51
3.893,278.53
3.8945,278.54
3.896,278.56
3.8975,278.58
3.8996,278.6
3.9016,278.61
3.9033,278.63
3.9049,278.64
3.9065,278.66
3.9081,278.67
3.9096,278.69
3.911,278.7
3.9125,278.71
3.9139,278.73
3.9156,278.74
3.9173,278.77
3.9186,278.78
3.9203,278.78
3.9216,278.79
3.9228,278.8
3.9241,278.82
3.9253,278.83
3.9266,278.84
3.9278,278.86
3.9291,278.87
3.9303,278.88
3.9319,278.89
3.9335,278.92
3.9351,278.93
3.9367,278.95
3.9384,278.97
3.9403,278.99
3.942,278.99
3.9437,279.01
3.9455,279.04
3.9474,279.05
3.9494,279.06
3.9513,279.08
3.9533,279.1
3.9552,279.12
3.9572,279.15
3.9596,279.16
3.9616,279.17
3.9632,279.19
3.9646,279.21
3.9662,279.22
3.9674,279.24
3.9698,279.27
3.9723,279.27
3.9738,279.28
3.9755,279.29
3.9769,279.31
3.9783,279.33
