Packet #,Checksum Status,Output Checksum,magic1,magic2,state,typeID,PAD,PAD,pwr_ctr,flight_ctr,checksum,magic3,temp,current,voltage,charge,is_charging,PAD,PAD,Packet (hex)
119866,OK,119511679,43690,170,6,11,0,0,36228423935,0,119511679,3435973836,224,15056,48,0,e000d03a30000000aaaaaa060b000000ffe0616f0800000000000000000000007f9a1f07cccccccc,,,
119986,OK,1582337109,43690,170,6,11,0,0,36229466530,0,1582337109,3435973836,225,15060,48,0,e100d43a30000000aaaaaa060b000000a2c9716f080000000000000000000000558c505ecccccccc,,,
120111,OK,3903486835,43690,170,6,11,0,0,36230513856,0,3903486835,3435973836,244,15060,48,0,f400d43a30000000aaaaaa060b000000c0c4816f080000000000000000000000737baae8cccccccc,,,
120234,OK,4177536284,43690,170,6,11,0,0,36231557122,0,4177536284,3435973836,234,15048,48,0,ea00c83a30000000aaaaaa060b00000002b0916f0800000000000000000000001c2500f9cccccccc,,,
120355,OK,1122380656,43690,170,6,11,0,0,36232601458,0,1122380656,3435973836,229,15056,48,0,e500d03a30000000aaaaaa060b000000729fa16f080000000000000000000000702be642cccccccc,,,
120481,OK,3978814505,43690,170,6,11,0,0,36233646676,0,3978814505,3435973836,224,15060,48,0,e000d43a30000000aaaaaa060b0000005492b16f08000000000000000000000029e427edcccccccc,,,
120604,OK,1707675965,43690,170,6,11,0,0,36234691897,0,1707675965,3435973836,223,15056,48,0,df00d03a30000000aaaaaa060b0000003985c16f0800000000000000000000003d11c965cccccccc,,,
120726,OK,4261768965,43690,170,6,11,0,0,36235735930,0,4261768965,3435973836,241,15056,48,0,f100d03a30000000aaaaaa060b0000007a73d16f080000000000000000000000056f05fecccccccc,,,
120849,OK,2859944261,43690,170,6,11,0,0,36236784258,0,2859944261,3435973836,233,15048,48,0,e900c83a30000000aaaaaa060b0000008272e16f080000000000000000000000454977aacccccccc,,,
120973,OK,3652669604,43690,170,6,11,0,0,36237824716,0,3652669604,3435973836,227,15056,48,0,e300d03a30000000aaaaaa060b000000cc52f16f080000000000000000000000a450b7d9cccccccc,,,
121096,OK,3466295353,43690,170,6,11,0,0,36238873812,0,3466295353,3435973836,224,15044,47,0,e000c43a2f000000aaaaaa060b000000d454017008000000000000000000000039789bcecccccccc,,,
121208,OK,3769969511,43690,170,6,11,0,0,36239915981,0,3769969511,3435973836,241,15028,47,0,f100b43a2f000000aaaaaa060b000000cd3b1170080000000000000000000000672bb5e0cccccccc,,,
121332,OK,606727765,43690,170,6,11,0,0,36240964923,0,606727765,3435973836,230,15036,47,0,e600bc3a2f000000aaaaaa060b0000003b3d217008000000000000000000000055ee2924cccccccc,,,
121455,OK,4129210372,43690,170,6,11,0,0,36242005412,0,4129210372,3435973836,229,15060,47,0,e500d43a2f000000aaaaaa060b000000a41d317008000000000000000000000004c01ef6cccccccc,,,
121577,OK,3276074962,43690,170,6,11,0,0,36243054446,0,3276074962,3435973836,229,15056,47,0,e500d03a2f000000aaaaaa060b0000006e1f4170080000000000000000000000d2ef44c3cccccccc,,,
121694,OK,3942039919,43690,170,6,11,0,0,36244095548,0,3942039919,3435973836,226,15056,47,0,e200d03a2f000000aaaaaa060b0000003c0251700800000000000000000000006fc1f6eacccccccc,,,
121820,OK,3498221187,43690,170,6,11,0,0,36245142875,0,3498221187,3435973836,241,15056,47,0,f100d03a2f000000aaaaaa060b0000005bfd6070080000000000000000000000839e82d0cccccccc,,,
121942,OK,927903110,43690,170,6,11,0,0,36246189100,0,927903110,3435973836,228,15048,47,0,e400c83a2f000000aaaaaa060b0000002cf4707008000000000000000000000086ad4e37cccccccc,,,
122062,OK,712590015,43690,170,6,11,0,0,36247229467,0,712590015,3435973836,227,15056,47,0,e300d03a2f000000aaaaaa060b0000001bd48070080000000000000000000000bf42792acccccccc,,,
122186,OK,2534157365,43690,170,6,11,0,0,36248278778,0,2534157365,3435973836,228,15056,47,0,e400d03a2f000000aaaaaa060b000000fad69070080000000000000000000000352c0c97cccccccc,,,
122308,OK,429488951,43690,170,6,11,0,0,36249322867,0,429488951,3435973836,229,15056,47,0,e500d03a2f000000aaaaaa060b00000073c5a070080000000000000000000000377b9919cccccccc,,,
122432,OK,1812683154,43690,170,6,11,0,0,36250370192,0,1812683154,3435973836,241,15056,47,0,f100d03a2f000000aaaaaa060b00000090c0b07008000000000000000000000092590b6ccccccccc,,,
122553,OK,3636974462,43690,170,6,11,0,0,36251416392,0,3636974462,3435973836,229,15048,47,0,e500c83a2f000000aaaaaa060b00000048b7c0700800000000000000000000007ed3c7d8cccccccc,,,
122673,OK,818096492,43690,170,6,11,0,0,36252461397,0,818096492,3435973836,224,15056,47,0,e000d03a2f000000aaaaaa060b00000055a9d0700800000000000000000000006c29c330cccccccc,,,
122794,OK,4082767487,43690,170,6,11,0,0,36253506677,0,4082767487,3435973836,229,15056,47,0,e500d03a2f000000aaaaaa060b000000759ce0700800000000000000000000007f165af3cccccccc,,,
122919,OK,2238701305,43690,170,6,11,0,0,36254551040,0,2238701305,3435973836,228,15056,47,0,e400d03a2f000000aaaaaa060b000000008cf070080000000000000000000000f9de6f85cccccccc,,,
123043,OK,4072347884,43690,170,6,11,0,0,36255595230,0,4072347884,3435973836,244,15056,47,0,f400d03a2f000000aaaaaa060b000000de7a0071080000000000000000000000ec18bbf2cccccccc,,,
123161,OK,1928504258,43690,170,6,11,0,0,36256639438,0,1928504258,3435973836,228,15048,47,0,e400c83a2f000000aaaaaa060b000000ce691071080000000000000000000000c2a3f272cccccccc,,,
