Packet #,Checksum Status,Output Checksum,magic1,magic2,state,typeID,PAD,PAD,pwr_ctr,flight_ctr,checksum,magic3,latitude,longitude,height,northVel,eastVel,downVel,posAccuracy,year,month,day,hour,minute,second,numSatellites,fixQuality,PAD,PAD,PAD,Packet (hex)
124318,OK,3945915767,43690,170,6,5,0,0,36266566160,0,3945915767,3435973836,35.3504736,-117.8088649,592763,7,1,-36,157,2022,4,23,16,23,42,31,3,0,0,0,420ea551dcac414077184971c4735dc07b0b09000700000001000000dcffffff9d000000e607041710172a1f03000000aaaaaa060500000010e2a77108000000000000000000000077e531ebcccccccc
124380,OK,202653273,43690,170,6,5,0,0,36267088777,0,202653273,3435973836,35.3504736,-117.8088648,592715,-4,-11,33,157,2022,4,23,16,23,43,31,3,0,0,0,420ea551dcac4140adb8dd70c4735dc04b0b0900fcfffffff5ffffff210000009d000000e607041710172b1f03000000aaaaaa060500000089dbaf71080000000000000000000000593e140ccccccccc
124503,OK,2711802620,43690,170,6,5,0,0,36268137780,0,2711802620,3435973836,35.3504735,-117.8088649,592755,5,-19,-52,157,2022,4,23,16,23,44,31,3,0,0,0,ad4ece50dcac414077184971c4735dc0730b090005000000edffffffccffffff9d000000e607041710172c1f03000000aaaaaa060500000034ddbf71080000000000000000000000fcd2a2a1cccccccc
124625,OK,2342997457,43690,170,6,5,0,0,36269184128,0,2342997457,3435973836,35.3504734,-117.8088651,592773,-26,-2,-2,157,2022,4,23,16,23,45,31,3,0,0,0,188ff74fdcac41400cd81f72c4735dc0850b0900e6fffffffefffffffeffffff9d000000e607041710172d1f03000000aaaaaa060500000080d4cf71080000000000000000000000d14da78bcccccccc
124749,OK,1881991861,43690,170,6,5,0,0,36270226236,0,1881991861,3435973836,35.3504733,-117.8088652,592776,-2,-3,22,157,2022,4,23,16,23,46,31,3,0,0,0,83cf204fdcac4140d7378b72c4735dc0880b0900fefffffffdffffff160000009d000000e607041710172e1f03000000aaaaaa06050000003cbbdf71080000000000000000000000b5ea2c70cccccccc
124872,OK,1636956604,43690,170,6,5,0,0,36271273471,0,1636956604,3435973836,35.3504733,-117.8088653,592824,-7,-2,-34,157,2022,4,23,16,23,47,31,3,0,0,0,83cf204fdcac4140a197f672c4735dc0b80b0900f9fffffffeffffffdeffffff9d000000e607041710172f1f03000000aaaaaa0605000000ffb5ef71080000000000000000000000bcf99161cccccccc
124994,OK,2071070988,43690,170,6,5,0,0,36272316765,0,2071070988,3435973836,35.3504732,-117.8088654,592852,-18,-5,-12,157,2022,4,23,16,23,48,31,3,0,0,0,ee0f4a4edcac41406bf76173c4735dc0d40b0900eefffffffbfffffff4ffffff9d000000e60704171017301f03000000aaaaaa06050000005da1ff710800000000000000000000000c09727bcccccccc
125210,OK,2131943409,43690,170,5,5,0,0,36273357958,0,2131943409,3435973836,35.3504734,-117.8088654,592873,44,24,-27,158,2022,4,23,16,23,49,31,3,0,0,0,188ff74fdcac41406bf76173c4735dc0e90b09002c00000018000000e5ffffff9e000000e60704171017311f03000000aaaaaa050500000086840f72080000000000000000000000f1df127fcccccccc
125542,OK,1110871587,43690,170,5,5,0,0,36274394756,0,1110871587,3435973836,35.3504738,-117.8088651,592836,25,41,4,161,2022,4,23,16,23,50,31,3,0,0,0,6b8d5253dcac41400cd81f72c4735dc0c40b0900190000002900000004000000a1000000e60704171017321f03000000aaaaaa050500000084561f72080000000000000000000000238e3642cccccccc
125874,OK,3769437276,43690,170,5,5,0,0,36275438236,0,3769437276,3435973836,35.3504741,-117.8088649,592820,21,8,-30,165,2022,4,23,16,23,51,31,3,0,0,0,2accd655dcac414077184971c4735dc0b40b09001500000008000000e2ffffffa5000000e60704171017331f03000000aaaaaa05050000009c422f720800000000000000000000005c0cade0cccccccc
126199,OK,417330823,43690,170,5,5,0,0,36276478393,0,417330823,3435973836,35.3504742,-117.808865,592877,-1,24,-54,170,2022,4,23,16,23,52,31,3,0,0,0,bf8bad56dcac41404278b471c4735dc0ed0b0900ffffffff18000000caffffffaa000000e60704171017341f03000000aaaaaa0505000000b9213f7208000000000000000000000087f6df18cccccccc
126530,OK,2730714588,43690,170,5,5,0,0,36277519980,0,2730714588,3435973836,35.3504741,-117.8088647,592826,-29,21,-40,174,2022,4,23,16,23,53,31,3,0,0,0,2accd655dcac4140e3587270c4735dc0ba0b0900e3ffffff15000000d8ffffffae000000e60704171017351f03000000aaaaaa05050000006c064f72080000000000000000000000dc65c3a2cccccccc
126872,OK,1353507104,43690,170,5,5,0,0,36278574633,0,1353507104,3435973836,35.3504743,-117.8088645,592811,43,37,-37,178,2022,4,23,16,23,54,31,3,0,0,0,544b8457dcac41404e999b6fc4735dc0ab0b09002b00000025000000dbffffffb2000000e60704171017361f03000000aaaaaa0505000000291e5f7208000000000000000000000020e1ac50cccccccc
127192,OK,1769006760,43690,170,5,5,0,0,36279611647,0,1769006760,3435973836,35.3504745,-117.8088642,592759,-30,4,55,182,2022,4,23,16,23,55,31,3,0,0,0,7dca3159dcac4140ee79596ec4735dc0770b0900e2ffffff0400000037000000b6000000e60704171017371f03000000aaaaaa0505000000fff06e72080000000000000000000000a8e67069cccccccc
127363,OK,2350543371,43690,170,5,5,0,0,36280119022,0,2350543371,3435973836,35.3504745,-117.808864,592648,7,9,32,184,2022,4,23,16,23,56,31,3,0,0,0,7dca3159dcac41405aba826dc4735dc0080b0900070000000900000020000000b8000000e60704171017381f03000000aaaaaa0505000000eeae76720800000000000000000000000b721a8ccccccccc
128370,OK,1550672150,43690,170,5,5,0,0,36283265640,0,1550672150,3435973836,35.3504745,-117.8088642,592669,20,12,-44,192,2022,4,23,16,23,59,31,3,0,0,0,7dca3159dcac4140ee79596ec4735dc01d0b0900140000000c000000d4ffffffc0000000e607041710173b1f03000000aaaaaa050500000068b2a67208000000000000000000000016616d5ccccccccc
128693,OK,1246663693,43690,170,9,5,0,0,36284309820,238129,1246663693,3435973836,35.3504746,-117.8088642,592722,-16,-16,-49,195,2022,4,23,16,24,0,31,3,0,0,0,128a085adcac4140ee79596ec4735dc0520b0900f0fffffff0ffffffcfffffffc3000000e60704171018001f03000000aaaaaa09050000003ca1b6720800000031a20300000000000d944e4acccccccc
129003,OK,148321478,43690,170,9,5,0,0,36285352421,1280730,148321478,3435973836,35.3504754,-117.808866,615126,242,-262,-44758,204,2022,4,23,16,24,1,24,3,0,0,0,b986be60dcac41402a36e675c4735dc0d6620900f2000000fafeffff2a51ffffcc000000e60704171018011803000000aaaaaa0905000000e589c67208000000da8a130000000000c634d708cccccccc
129658,OK,4113388906,43690,170,9,5,0,0,36287441833,3370142,4113388906,3435973836,35.3503527,-117.8087195,807710,-8272,14837,-150709,213,2022,4,23,16,24,3,25,3,0,0,0,5b48765bd8ac4140cc086f0fc2735dc01e530c00b0dffffff53900004bb3fdffd5000000e60704171018031903000000aaaaaa0905000000a96be672080000009e6c3300000000006a552df5cccccccc
129986,OK,1951840294,43690,170,9,5,0,0,36288480549,4408858,1951840294,3435973836,35.3502707,-117.8085317,987930,-9766,19232,-210198,215,2022,4,23,16,24,4,24,3,0,0,0,9e9f98abd5ac4140df51befbbe735dc01a130f00dad9ffff204b0000eacafcffd7000000e60704171018041803000000aaaaaa09050000002545f672080000001a4643000000000026b85674cccccccc
130325,OK,2122370049,43690,170,9,5,0,0,36289524267,5452576,2122370049,3435973836,35.3501662,-117.8082663,1228020,-13509,28925,-270176,216,2022,4,23,16,24,5,24,3,0,0,0,1195fc3ed2ac41405f3d93a2ba735dc0f4bc12003bcbfffffd700000a0e0fbffd8000000e60704171018051803000000aaaaaa09050000002b32067308000000203353000000000001cc807ecccccccc
130639,OK,2604584173,43690,170,9,5,0,0,36290577057,6505366,2604584173,3435973836,35.3500384,-117.8079061,1528244,-14884,36587,-330219,216,2022,4,23,16,24,6,24,3,0,0,0,0d2cec0eceac41404a6fc9bbb4735dc0b4511700dcc5ffffeb8e000015f6faffd8000000e60704171018061803000000aaaaaa0905000000a1421673080000009643630000000000edcc3e9bcccccccc
130796,OK,2990542325,43690,170,9,5,0,0,36291097509,7025818,2990542325,3435973836,35.3498947,-117.807457,1884610,-17047,45031,-382654,218,2022,4,23,16,24,7,26,3,0,0,0,99c57a59c9ac414048fb1f60ad735dc0c2c11c0069bdffffe7af00004229faffda000000e60704171018071a03000000aaaaaa0905000000a5331e73080000009a346b0000000000f50d40b2cccccccc
131134,OK,269893939,43690,170,9,5,0,0,36292143860,8072169,269893939,3435973836,35.3497374,-117.8069227,2290497,-17991,51716,-430064,222,2022,4,23,16,24,8,26,3,0,0,0,1298f331c4ac41409ab91b9fa4735dc041f32200b9b9ffff04ca00001070f9ffde000000e60704171018081a03000000aaaaaa0905000000f42a2e7308000000e92b7b000000000033411610cccccccc
131464,OK,3446601588,43690,170,9,5,0,0,36293185938,9114247,3446601588,3435973836,35.3495701,-117.8063188,2741463,-19138,57689,-472870,229,2022,4,23,16,24,9,26,3,0,0,0,f000cc3a2f000000aaaaaa090b000000420d0a3e7308000000370b8b00000000003fb7f094cccccccc699489b6beac414099092bba9a735dc0d7d429003eb5ffff59e10000dac8f8ffe5000000e60704171018091a03000000aaaaaa090500000092113e730800000087128b000000000074f76ecdcccccccc
132132,OK,3736218307,43690,170,9,5,0,0,36295264752,11193061,3736218307,3435973836,35.3495701,-117.8063188,2741463,-19138,57689,-472870,229,2022,4,23,16,24,11,0,0,0,0,0,699489b6beac414099092bba9a735dc0d7d429003eb5ffff59e10000dac8f8ffe5000000e607041710180b0000000000aaaaaa0905000000f0c95d7308000000e5caaa0000000000c32ab2decccccccc
132466,OK,3962023210,43690,170,9,5,0,0,36296297823,12226132,3962023210,3435973836,35.3495701,-117.8063188,2741463,-19138,57689,-472870,229,2022,4,23,16,24,12,0,0,0,0,0,699489b6beac414099092bba9a735dc0d7d429003eb5ffff59e10000dac8f8ffe5000000e607041710180c0000000000aaaaaa09050000005f8d6d7308000000548eba00000000002aad27eccccccccc
