Packet #,Checksum Status,Output Checksum,magic1,magic2,state,typeID,PAD,PAD,pwr_ctr,flight_ctr,checksum,magic3,altitude,pressure,temperature,PAD,Packet (hex)
120577,OK,3643633784,43690,170,6,6,0,0,36234446563,0,3643633784,3435973836,559.2099609,94785,17.69000053,0,70cd0b44417201001f858d4100000000aaaaaa0606000000e3c6bd6f08000000000000000000000078702dd9cccccccc
120602,OK,3616993834,43690,170,6,6,0,0,36234681560,0,3616993834,3435973836,559.5587158,94781,17.69000053,0,c2e30b443d7201001f858d4100000000aaaaaa0606000000d85cc16f0800000000000000000000002af296d7cccccccc
120649,OK,3694977882,43690,170,6,6,0,0,36235086214,0,3694977882,3435973836,559.5587158,94781,17.67000008,0,c2e30b443d720100295c8d4100000000aaaaaa06060000008689c76f0800000000000000000000005ae33cdccccccccc
120674,OK,3500814914,43690,170,6,6,0,0,36235288373,0,3500814914,3435973836,559.4715576,94782,17.69000053,0,2ede0b443e7201001f858d4100000000aaaaaa0606000000359fca6f0800000000000000000000004232aad0cccccccc
120699,OK,292797069,43690,170,6,6,0,0,36235490501,0,292797069,3435973836,559.2099609,94785,17.70000076,0,70cd0b44417201009a998d4100000000aaaaaa0606000000c5b4cd6f0800000000000000000000008dba7311cccccccc
120723,OK,911027751,43690,170,6,6,0,0,36235725592,0,911027751,3435973836,559.5587158,94781,17.68000031,0,c2e30b443d720100a4708d4100000000aaaaaa0606000000184bd16f080000000000000000000000272e4d36cccccccc
120748,OK,411429684,43690,170,6,6,0,0,36235927612,0,411429684,3435973836,559.822937,94778,17.62000084,0,abf40b443a720100c3f58c4100000000aaaaaa06060000003c60d46f08000000000000000000000034eb8518cccccccc
120772,OK,1768106074,43690,170,6,6,0,0,36236129480,0,1768106074,3435973836,559.4715576,94782,17.65999985,0,2ede0b443e720100ae478d4100000000aaaaaa0606000000c874d76f0800000000000000000000005a286369cccccccc
120796,OK,1560578955,43690,170,6,6,0,0,36236331639,0,1560578955,3435973836,559.3843384,94783,17.68000031,0,99d80b443f720100a4708d4100000000aaaaaa0606000000778ada6f0800000000000000000000008b8b045dcccccccc
120821,OK,2198798524,43690,170,6,6,0,0,36236533828,0,2198798524,3435973836,559.2099609,94785,17.69000053,0,70cd0b44417201001f858d4100000000aaaaaa060600000044a0dd6f080000000000000000000000bc000f83cccccccc
120846,OK,1324025209,43690,170,6,6,0,0,36236771969,0,1324025209,3435973836,559.5587158,94781,17.67000008,0,c2e30b443d720100295c8d4100000000aaaaaa06060000008142e16f0800000000000000000000007905eb4ecccccccc
120895,OK,2234796690,43690,170,6,6,0,0,36237175707,0,2234796690,3435973836,559.822937,94778,17.67000008,0,abf40b443a720100295c8d4100000000aaaaaa06060000009b6be76f080000000000000000000000924a3485cccccccc
120921,OK,2867315842,43690,170,6,6,0,0,36237379709,0,2867315842,3435973836,559.3843384,94783,17.68000031,0,99d80b443f720100a4708d4100000000aaaaaa06060000007d88ea6f08000000000000000000000082c4e7aacccccccc
